Unnamed: 0,Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP,iso_alpha3
0,United States,"$27,720,700,000,000",27.721 trillion,2.89%,343477335,"$80,706",26.11%,USA
1,China,"$17,794,800,000,000",17.795 trillion,5.25%,1422584933,"$12,509",16.76%,CHN
2,Germany,"$4,525,700,000,000",4.526 trillion,−0.27%,84548231,"$53,528",4.26%,DEU
3,Japan,"$4,204,490,000,000",4.204 trillion,1.68%,124370947,"$33,806",3.96%,JPN
4,India,"$3,567,550,000,000",3.568 trillion,8.15%,1438069596,"$2,481",3.36%,IND
5,United Kingdom,"$3,380,850,000,000",3.381 trillion,0.34%,68682962,"$49,224",3.18%,GBR
6,France,"$3,051,830,000,000",3.052 trillion,0.94%,66438822,"$45,934",2.87%,FRA
7,Italy,"$2,300,940,000,000",2.301 trillion,0.7%,59499453,"$38,672",2.17%,ITA
8,Brazil,"$2,173,670,000,000",2.174 trillion,2.91%,211140729,"$10,295",2.05%,BRA
9,Canada,"$2,142,470,000,000",2.142 trillion,1.25%,39299105,"$54,517",2.02%,CAN
10,Russia,"$2,021,420,000,000",2.021 trillion,3.6%,145440500,"$13,899",1.90%,RUS
11,Mexico,"$1,789,110,000,000",1.789 trillion,3.2%,129739759,"$13,790",1.69%,MEX
12,Australia,"$1,728,060,000,000",1.728 trillion,3.44%,26451124,"$65,330",1.63%,AUS
13,South Korea,"$1,712,790,000,000",1.713 trillion,1.36%,51748739,"$33,098",1.61%,KOR
14,Spain,"$1,620,090,000,000",1.62 trillion,2.68%,47911579,"$33,814",1.53%,ESP
15,Indonesia,"$1,371,170,000,000",1.371 trillion,5.05%,281190067,"$4,876",1.29%,IDN
16,Netherlands,"$1,154,360,000,000",1.154 trillion,0.07%,18092524,"$63,803",1.09%,NLD
17,Turkey,"$1,118,250,000,000",1.118 trillion,5.11%,87270501,"$12,814",1.05%,TUR
18,Saudi Arabia,"$1,067,580,000,000",1.068 trillion,−0.76%,33264292,"$32,094",1.01%,SAU
19,Switzerland,"$884,940,000,000",884.94 billion,0.72%,8870561,"$99,761",0.83%,CHE
20,Poland,"$809,201,000,000",809.201 billion,0.14%,38762844,"$20,876",0.76%,POL
21,Argentina,"$646,075,000,000",646.075 billion,−1.61%,45538401,"$14,187",0.61%,ARG
22,Belgium,"$644,783,000,000",644.783 billion,1.25%,11712893,"$55,049",0.61%,BEL
23,Sweden,"$584,960,000,000",584.96 billion,−0.31%,10551494,"$55,439",0.55%,SWE
24,Ireland,"$551,395,000,000",551.395 billion,−5.53%,5196630,"$106,106",0.52%,IRL
25,Thailand,"$514,969,000,000",514.969 billion,1.89%,71702435,"$7,182",0.49%,THA
26,United Arab Emirates,"$514,130,000,000",514.13 billion,3.62%,10642081,"$48,311",0.48%,ARE
27,Israel,"$513,611,000,000",513.611 billion,2.42%,9256314,"$55,488",0.48%,ISR
28,Austria,"$511,685,000,000",511.685 billion,−0.95%,9130429,"$56,042",0.48%,AUT
29,Singapore,"$501,428,000,000",501.428 billion,1.07%,5789090,"$86,616",0.47%,SGP
30,Norway,"$485,311,000,000",485.311 billion,0.48%,5519167,"$87,932",0.46%,NOR
31,Bangladesh,"$437,415,000,000",437.415 billion,5.78%,171466990,"$2,551",0.41%,BGD
32,Philippines,"$437,146,000,000",437.146 billion,5.55%,114891199,"$3,805",0.41%,PHL
33,Vietnam,"$429,717,000,000",429.717 billion,5.05%,100352192,"$4,282",0.40%,VNM
34,Denmark,"$407,092,000,000",407.092 billion,2.5%,5948136,"$68,440",0.38%,DNK
35,Iran,"$404,626,000,000",404.626 billion,5.04%,90608707,"$4,466",0.38%,IRN
36,Malaysia,"$399,705,000,000",399.705 billion,3.56%,35126298,"$11,379",0.38%,MYS
37,Egypt,"$396,002,000,000",396.002 billion,3.76%,114535772,"$3,457",0.37%,EGY
38,Hong Kong,"$380,812,000,000",380.812 billion,3.28%,7442734,"$51,166",0.36%,HKG
39,South Africa,"$380,699,000,000",380.699 billion,0.7%,63212384,"$6,023",0.36%,ZAF
40,Nigeria,"$363,846,000,000",363.846 billion,2.86%,227882945,"$1,597",0.34%,NGA
41,Colombia,"$363,494,000,000",363.494 billion,0.61%,52321152,"$6,947",0.34%,COL
42,Romania,"$350,776,000,000",350.776 billion,2.4%,19118479,"$18,347",0.33%,ROU
43,Czech Republic (Czechia),"$343,208,000,000",343.208 billion,−0.09%,10809716,"$31,750",0.32%,CZE
44,Pakistan,"$337,912,000,000",337.912 billion,−0.04%,247504495,"$1,365",0.32%,PAK
45,Chile,"$335,533,000,000",335.533 billion,0.22%,19658835,"$17,068",0.32%,CHL
46,Finland,"$295,532,000,000",295.532 billion,−1.16%,5601185,"$52,762",0.28%,FIN
47,Portugal,"$289,114,000,000",289.114 billion,2.53%,10430738,"$27,718",0.27%,PRT
48,Peru,"$267,603,000,000",267.603 billion,−0.55%,33845617,"$7,907",0.25%,PER
49,Kazakhstan,"$262,642,000,000",262.642 billion,5.1%,20330104,"$12,919",0.25%,KAZ
50,New Zealand,"$252,176,000,000",252.176 billion,0.73%,5172836,"$48,750",0.24%,NZL
51,Iraq,"$250,843,000,000",250.843 billion,−2.94%,45074049,"$5,565",0.24%,IRQ
52,Algeria,"$247,626,000,000",247.626 billion,4.1%,46164219,"$5,364",0.23%,DZA
53,Greece,"$243,498,000,000",243.498 billion,2.33%,10242908,"$23,772",0.23%,GRC
54,Qatar,"$213,003,000,000",213.003 billion,1.19%,2979082,"$71,500",0.20%,QAT
55,Hungary,"$212,389,000,000",212.389 billion,−0.91%,9686463,"$21,926",0.20%,HUN
56,Ukraine,"$178,757,000,000",178.757 billion,5.32%,37732836,"$4,737",0.17%,UKR
57,Kuwait,"$163,705,000,000",163.705 billion,−3.64%,4838782,"$33,832",0.15%,KWT
58,Ethiopia,"$163,698,000,000",163.698 billion,6.5%,128691692,"$1,272",0.15%,ETH
59,Morocco,"$144,417,000,000",144.417 billion,3.4%,37712505,"$3,829",0.14%,MAR
60,Slovakia,"$132,908,000,000",132.908 billion,1.38%,5518055,"$24,086",0.13%,SVK
61,Dominican Republic,"$121,444,000,000",121.444 billion,2.36%,11331265,"$10,718",0.11%,DOM
62,Ecuador,"$118,845,000,000",118.845 billion,2.36%,17980083,"$6,610",0.11%,ECU
63,Sudan,"$109,266,000,000",109.266 billion,−20.11%,50042791,"$2,183",0.10%,SDN
64,Oman,"$108,811,000,000",108.811 billion,1.31%,5049269,"$21,550",0.10%,OMN
65,Kenya,"$108,039,000,000",108.039 billion,5.56%,55339003,"$1,952",0.10%,KEN
66,Guatemala,"$104,450,000,000",104.45 billion,3.53%,18124838,"$5,763",0.098%,GTM
67,Bulgaria,"$102,408,000,000",102.408 billion,1.89%,6795803,"$15,069",0.096%,BGR
68,Uzbekistan,"$101,592,000,000",101.592 billion,6.29%,35652307,"$2,850",0.096%,UZB
69,Costa Rica,"$86,497,941,439",86.498 billion,5.11%,5105525,"$16,942",0.081%,CRI
70,Luxembourg,"$85,755,006,124",85.755 billion,−1.1%,665098,"$128,936",0.081%,LUX
71,Angola,"$84,824,654,482",84.825 billion,1%,36749906,"$2,308",0.080%,AGO
72,Croatia,"$84,393,795,502",84.394 billion,3.3%,3896023,"$21,662",0.079%,HRV
73,Sri Lanka,"$84,356,863,744",84.357 billion,−2.3%,22971617,"$3,672",0.079%,LKA
74,Panama,"$83,318,176,900",83.318 billion,7.4%,4458759,"$18,686",0.078%,PAN
75,Serbia,"$81,342,660,752",81.343 billion,3.85%,6773201,"$12,009",0.077%,SRB
76,Lithuania,"$79,789,877,416",79.79 billion,0.34%,2854099,"$27,956",0.075%,LTU
77,Tanzania,"$79,062,403,821",79.062 billion,5.07%,66617606,"$1,187",0.074%,TZA
78,Côte d'Ivoire,"$78,875,489,245",78.875 billion,6.2%,31165654,"$2,531",0.074%,CIV
79,Uruguay,"$77,240,830,877",77.241 billion,0.37%,3388081,"$22,798",0.073%,URY
80,Ghana,"$76,370,396,722",76.37 billion,2.94%,33787914,"$2,260",0.072%,GHA
81,Azerbaijan,"$72,356,176,471",72.356 billion,1.12%,10318207,"$7,012",0.068%,AZE
82,Belarus,"$71,857,382,746",71.857 billion,3.89%,9115680,"$7,883",0.068%,BLR
83,Slovenia,"$69,148,468,417",69.148 billion,2.11%,2118396,"$32,642",0.065%,SVN
84,Myanmar,"$66,757,619,000",66.758 billion,0.96%,54133798,"$1,233",0.063%,MMR
85,DR Congo,"$66,383,287,003",66.383 billion,8.56%,105789731,$628,0.063%,COD
86,Turkmenistan,"$60,628,857,143",60.629 billion,6.3%,7364438,"$8,233",0.057%,TKM
87,Jordan,"$50,967,475,352",50.967 billion,2.68%,11439213,"$4,456",0.048%,JOR
88,Cameroon,"$49,279,410,983",49.279 billion,3.25%,28372687,"$1,737",0.046%,CMR
89,Uganda,"$48,768,955,863",48.769 billion,5.34%,48656601,"$1,002",0.046%,UGA
90,Tunisia,"$48,529,595,417",48.53 billion,0.04%,12200431,"$3,978",0.046%,TUN
91,Bahrain,"$46,079,867,021",46.08 billion,2.98%,1569666,"$29,356",0.043%,BHR
92,Macao,"$45,803,067,940",45.803 billion,75.06%,713912,"$64,158",0.043%,MAC
93,Bolivia,"$45,135,398,009",45.135 billion,3.08%,12244159,"$3,686",0.043%,BOL
94,Libya,"$45,096,462,972",45.096 billion,10.16%,7305659,"$6,173",0.042%,LBY
95,Paraguay,"$42,956,263,544",42.956 billion,4.71%,6844146,"$6,276",0.040%,PRY
96,Cambodia,"$42,335,646,896",42.336 billion,4.96%,17423880,"$2,430",0.040%,KHM
97,Latvia,"$42,247,850,065",42.248 billion,1.71%,1882396,"$22,444",0.040%,LVA
98,Estonia,"$41,291,245,222",41.291 billion,−3.02%,1367196,"$30,201",0.039%,EST
99,Nepal,"$40,908,073,367",40.908 billion,1.95%,29694614,"$1,378",0.039%,NPL
100,Zimbabwe,"$35,231,367,886",35.231 billion,5.34%,16340822,"$2,156",0.033%,ZWE
101,Honduras,"$34,400,509,852",34.401 billion,3.58%,10644851,"$3,232",0.032%,HND
102,El Salvador,"$34,015,620,000",34.016 billion,3.51%,6309624,"$5,391",0.032%,SLV
103,Cyprus,"$33,886,930,712",33.887 billion,2.61%,1344976,"$25,195",0.032%,CYP
104,Iceland,"$31,325,116,556",31.325 billion,5.04%,387558,"$80,827",0.030%,ISL
105,Senegal,"$30,848,333,084",30.848 billion,4.58%,18077573,"$1,706",0.029%,SEN
106,Georgia,"$30,777,833,585",30.778 billion,7.83%,3807492,"$8,083",0.029%,GEO
107,Papua New Guinea,"$30,729,242,919",30.729 billion,3.04%,10389635,"$2,958",0.029%,PNG
108,Zambia,"$27,577,956,471",27.578 billion,5.37%,20723965,"$1,331",0.026%,ZMB
109,Bosnia and Herzegovina,"$27,514,782,476",27.515 billion,2.21%,3185073,"$8,639",0.026%,BIH
110,Trinidad and Tobago,"$27,372,285,698",27.372 billion,1.35%,1502932,"$18,213",0.026%,TTO
111,Armenia,"$24,085,749,592",24.086 billion,8.3%,2943393,"$8,183",0.023%,ARM
112,Albania,"$23,547,179,830",23.547 billion,3.94%,2811655,"$8,375",0.022%,ALB
113,Malta,"$22,328,640,242",22.329 billion,7.5%,532956,"$41,896",0.021%,MLT
114,Guinea,"$22,199,409,741",22.199 billion,6.74%,14405468,"$1,541",0.021%,GIN
115,Mozambique,"$20,954,220,984",20.954 billion,5.44%,33635160,$623,0.020%,MOZ
116,Mali,"$20,661,794,596",20.662 billion,4.66%,23769127,$869,0.019%,MLI
117,Mongolia,"$20,325,121,394",20.325 billion,7.42%,3431932,"$5,922",0.019%,MNG
118,Burkina Faso,"$20,324,617,845",20.325 billion,2.96%,23025776,$883,0.019%,BFA
119,Haiti,"$19,850,829,758",19.851 billion,−1.86%,11637398,"$1,706",0.019%,HTI
120,Benin,"$19,676,049,076",19.676 billion,6.35%,14111034,"$1,394",0.019%,BEN
121,Jamaica,"$19,423,355,409",19.423 billion,2.2%,2839786,"$6,840",0.018%,JAM
122,Botswana,"$19,396,084,498",19.396 billion,2.73%,2480244,"$7,820",0.018%,BWA
123,Gabon,"$19,388,402,542",19.388 billion,2.45%,2484789,"$7,803",0.018%,GAB
124,Nicaragua,"$17,829,218,219",17.829 billion,4.57%,6823613,"$2,613",0.017%,NIC
125,State of Palestine,"$17,420,800,000",17.421 billion,−5.41%,5409202,"$3,221",0.016%,PSE
126,Afghanistan,"$17,233,051,620",17.233 billion,2.71%,41454761,$416,0.016%,AFG
127,Guyana,"$17,159,509,565",17.16 billion,33.8%,826353,"$20,765",0.016%,GUY
128,Niger,"$16,819,170,421",16.819 billion,2.5%,26159867,$643,0.016%,NER
129,Moldova,"$16,539,436,547",16.539 billion,0.78%,3067070,"$5,393",0.016%,MDA
130,Laos,"$15,843,155,731",15.843 billion,3.75%,7664993,"$2,067",0.015%,LAO
131,Madagascar,"$15,790,113,247",15.79 billion,3.8%,31195932,$506,0.015%,MDG
132,North Macedonia,"$15,763,621,848",15.764 billion,2.07%,1831802,"$8,606",0.015%,MKD
133,Congo,"$15,321,055,823",15.321 billion,1.91%,6182885,"$2,478",0.014%,COG
134,Brunei,"$15,128,292,981",15.128 billion,1.41%,458949,"$32,963",0.014%,BRN
135,Mauritius,"$14,644,524,819",14.645 billion,6.96%,1273588,"$11,499",0.014%,MUS
136,Bahamas,"$14,338,500,000",14.338 billion,2.64%,399440,"$35,897",0.014%,BHS
137,Rwanda,"$14,097,768,472",14.098 billion,8.24%,13954471,"$1,010",0.013%,RWA
138,Kyrgyzstan,"$13,987,627,909",13.988 billion,6.15%,7073516,"$1,977",0.013%,KGZ
139,Chad,"$13,149,325,362",13.149 billion,4.12%,19319064,$681,0.012%,TCD
140,Malawi,"$12,712,150,082",12.712 billion,1.89%,21104482,$602,0.012%,MWI
141,Namibia,"$12,351,025,067",12.351 billion,4.16%,2963095,"$4,168",0.012%,NAM
142,Equatorial Guinea,"$12,337,550,584",12.338 billion,−5.09%,1847549,"$6,678",0.012%,GNQ
143,Tajikistan,"$12,060,602,009",12.061 billion,8.3%,10389799,"$1,161",0.011%,TJK
144,Mauritania,"$10,651,709,411",10.652 billion,6.51%,5022441,"$2,121",0.010%,MRT
145,Togo,"$9,171,261,838",9.171 billion,6.41%,9304337,$986,0.0086%,TGO
146,Montenegro,"$7,530,593,375",7.531 billion,6.34%,633552,"$11,886",0.0071%,MNE
147,Barbados,"$6,720,733,200",6.721 billion,4.09%,282336,"$23,804",0.0063%,BRB
148,Maldives,"$6,590,894,302",6.591 billion,4.73%,525994,"$12,530",0.0062%,MDV
149,Sierra Leone,"$6,411,869,546",6.412 billion,5.71%,8460512,$758,0.0060%,SLE
150,Fiji,"$5,442,046,565",5.442 billion,7.52%,924145,"$5,889",0.0051%,FJI
151,Eswatini,"$4,442,875,788",4.443 billion,5.01%,1230506,"$3,611",0.0042%,SWZ
152,Liberia,"$4,240,000,000",4.24 billion,4.68%,5493031,$772,0.0040%,LBR
153,Andorra,"$3,785,067,332",3.785 billion,2.58%,80856,"$46,812",0.0036%,AND
154,Aruba,"$3,648,573,136",3.649 billion,4.26%,107939,"$33,802",0.0034%,ABW
155,Suriname,"$3,455,146,281",3.455 billion,2.54%,628886,"$5,494",0.0033%,SUR
156,Belize,"$3,066,850,000",3.067 billion,1.15%,411106,"$7,460",0.0029%,BLZ
157,Burundi,"$2,642,161,669",2.642 billion,2.7%,13689450,$193,0.0025%,BDI
158,Central African Republic,"$2,555,492,085",2.555 billion,0.87%,5152421,$496,0.0024%,CAF
159,Cabo Verde,"$2,533,819,406",2.534 billion,5.48%,522331,"$4,851",0.0024%,CPV
160,Saint Lucia,"$2,430,148,148",2.43 billion,2.21%,179285,"$13,555",0.0023%,LCA
161,Gambia,"$2,396,111,022",2.396 billion,4.8%,2697845,$888,0.0023%,GMB
162,Seychelles,"$2,141,450,171",2.141 billion,3.16%,127951,"$16,736",0.0020%,SYC
163,Lesotho,"$2,117,962,451",2.118 billion,1.83%,2311472,$916,0.0020%,LSO
164,Timor-Leste,"$2,079,916,900",2.08 billion,−18.12%,1384286,"$1,503",0.0020%,TLS
165,Guinea-Bissau,"$2,048,348,108",2.048 billion,5.2%,2153339,$951,0.0019%,GNB
166,Antigua and Barbuda,"$2,033,085,185",2.033 billion,3.86%,93316,"$21,787",0.0019%,ATG
167,Solomon Islands,"$1,633,319,401",1.633 billion,3.08%,800005,"$2,042",0.0015%,SLB
168,Comoros,"$1,352,380,971",1.352 billion,3%,850387,"$1,590",0.0013%,COM
169,Grenada,"$1,316,733,333",1.317 billion,3.57%,117081,"$11,246",0.0012%,GRD
170,Vanuatu,"$1,126,313,359",1.126 billion,2.21%,320409,"$3,515",0.0011%,VUT
171,St. Vincent & Grenadines,"$1,065,962,963",1.066 billion,6.02%,101323,"$10,520",0.0010%,VCT
172,Saint Kitts & Nevis,"$1,055,499,778",1.055 billion,2.28%,46758,"$22,574",0.00099%,KNA
173,Samoa,"$938,189,444",938.189 million,8.58%,216663,"$4,330",0.00088%,WSM
174,Sao Tome & Principe,"$678,976,265",678.976 million,0.37%,230871,"$2,941",0.00064%,STP
175,Dominica,"$653,992,593",653.993 million,4.71%,66510,"$9,833",0.00062%,DMA
176,Micronesia,"$460,000,000",460 million,0.78%,112630,"$4,084",0.00043%,FSM
177,Palau,"$281,849,063",281.849 million,1.88%,17727,"$15,899",0.00027%,PLW
178,Kiribati,"$279,208,903",279.209 million,4.12%,132530,"$2,107",0.00026%,KIR
179,Marshall Islands,"$259,300,000",259.3 million,−3.93%,38827,"$6,678",0.00024%,MHL
180,Tuvalu,"$62,280,312",62.28 million,3.85%,9816,"$6,345",0.000059%,TUV
